id,category,name_en,name_fr,description_en,description_fr,image,source_section
Desc_GoldIngot_C,ingot,Caterium Ingot,Lingot de caterium,Smelted from Caterium Ore. Primarily used for advanced electronics.,Résultat de la fonte du minerai de caterium. Principalement utilisé dans l'électronique de pointe.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_CateriumIngot_256.png?v=1725286512,itemsData
Desc_SteelIngot_C,ingot,Steel Ingot,Lingot d'acier,Smelted from a combination of Iron Ore and Coal. Can be made into several parts used in building construction.,Alliage de minerai de fer et de charbon. Peut être transformé en diverses pièces utilisées dans la construction de bâtiments.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_SteelIngot_256.png?v=1725286509,itemsData
Desc_AluminumIngot_C,ingot,Aluminum Ingot,Lingot d'aluminium,"Smelted from Aluminum Scrap, which is refined from Alumina Solution.<br />Used to produce specialized aluminum-based parts.","Fabriqué à partir de rebuts d’aluminium, qui sont raffinés à partir de la solution d’alumine.<br />Utilisé pour produire des pièces spécialisées à base d'aluminium.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_AluminiumIngot_256.png?v=1725286515,itemsData
Desc_FicsiteIngot_C,ingot,Ficsite Ingot,Lingot de ficsite,"Produced by reconstructing other metals on a molecular level using Strange Alien Matter.<br /><br />Synthesized by FICSIT to be the perfect construction material, and used in the most high-end processes.","Produit en reconstruisant d'autres métaux au niveau moléculaire grâce à l'étrange matière extraterrestre.<br /><br />Synthétisé par FICSIT pour être le matériau de construction parfait, et utilisé dans les processus les plus sophistiqués.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_FicsiteIngot_256.png?v=1725286507,itemsData
Desc_Cement_C,mineral,Concrete,Béton,Used for building.<br />Good for stable foundations.,Matériau de construction.<br />Pour des fondations stables.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Concrete_256.png?v=1725286514,itemsData
Desc_QuartzCrystal_C,mineral,Quartz Crystal,Cristal de quartz,Derived from Raw Quartz. Used in the production of advanced radar technology and high-quality display screens.,Obtenu à partir de quartz brut. Utilisé dans les productions de technologie radar avancée et d'écrans de haute qualité.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_QuartzResource_256.png?v=1725286510,itemsData
Desc_Silica_C,mineral,Silica,Silice,"Derived from Raw Quartz. Commonly used to create glass structures, in advanced refinement processes, and for alternative production of electronics.","Obtenue à partir de quartz brut. Utilisée principalement dans la création de structures en verre, dans des processus de raffinage avancés et dans la production alternative d'électronique.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Silica_256.png?v=1725286517,itemsData
Desc_CopperDust_C,mineral,Copper Powder,Poudre de cuivre,"Ground-up Copper Ingots.<br />The high natural density of Copper, combined with the granularity of the powder, makes this part perfect for producing Nuclear Pasta in the Particle Accelerator.","Des lingots de cuivre en poudre.<br />La densité élevée naturelle du cuivre, combinée à l'aspect granuleux de la poudre, en font l'ingrédient idéal pour produire de la pâte nucléaire dans l'accélérateur de particules.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_CopperDust_256.png?v=1725286512,itemsData
Desc_PolymerResin_C,mineral,Polymer Resin,Résine polymère,A by-product of Crude Oil refinement into Fuel. Commonly used to manufacture Plastic and Rubber.,Un produit dérivé du raffinage du pétrole brut en carburant. Couramment utilisée pour fabriquer du plastique et du caoutchouc.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_PolymerResin_256.png?v=1725286508,itemsData
Desc_PetroleumCoke_C,mineral,Petroleum Coke,Coke de pétrole,Used for crafting.<br />A carbon-rich material distilled from Heavy Oil Residue.<br />Used as a less efficient coal replacement.,"Matériau de fabrication.<br />Un matériau riche en carbone, produit de la distillation des résidus de pétrole lourd.<br />Utilisé comme alternative moins efficace au charbon.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_PetroleumCoke_256.png?v=1725286511,itemsData
Desc_AluminumScrap_C,mineral,Aluminum Scrap,Rebuts d'aluminium,Refined from Alumina. Can be smelted into Aluminum Ingots for industrial usage.,Issus du raffinage de l'alumine. Peuvent être fondus pour obtenir des lingots d'aluminium à des fins industrielles.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_AluminiumScrap_256.png?v=1725286511,itemsData
Desc_AlienProtein_C,animal,Alien Protein,Protéine extraterrestre,Ground-up Alien Remains in a neat little package.<br />Used for medical purposes and to research alien organisms.,Résidus extraterrestres broyés dans un beau petit emballage.<br />Utilisée à des fins médicales et d'étude des organismes extraterrestres.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_AlienProtein_256.png?v=1725286516,itemsData
Desc_AlienDNACapsule_C,animal,Alien DNA Capsule,Capsule ADN extraterrestre,"Translates organic chemicals into readable alien genetic information.<br />Used for researching alien organisms.<br /><br />Go the extra kilometer! Knowledge is power, and power is just efficiency with fewer steps. Depositing Alien DNA Capsules in the AWESOME Sink provides FICSIT with knowledge, and pioneers with Coupons.","Retranscrit les produits chimiques organiques en informations génétiques extraterrestres lisibles.<br />Utilisée pour l'étude des organismes extraterrestres.<br /><br />Donnez tout ce que vous avez ! Le savoir, c'est le pouvoir. Et le pouvoir, c'est une efficacité facilitée. En déposant des capsules d'ADN extraterrestre dans le broyeur A.W.E.S.O.M.E., FICSIT alimente sa base de connaissances et vous obtenez des bons en récompense.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_AlienDNA_256.png?v=1725286510,itemsData
Desc_Water_C,liquid,Water,Eau,It's water.,C'est de l'eau.,https://static.satisfactory-calculator.com/img/gameStable1.0/LiquidWater_Pipe_256.png?v=1725286506,itemsData
Desc_LiquidOil_C,liquid,Crude Oil,Pétrole brut,"Refined into all kinds of Oil-based resources, like Fuel and Plastic.","Raffiné pour créer toutes sortes de ressources à base de pétrole, telles que le carburant et le plastique.",https://static.satisfactory-calculator.com/img/gameStable1.0/LiquidOil_Pipe_256.png?v=1725286506,itemsData
Desc_HeavyOilResidue_C,liquid,Heavy Oil Residue,Résidus de pétrole lourd,A by-product of Plastic and Rubber production. Can be further refined into Fuel and Petroleum Coke.,Un sous-produit de la production de plastique et de caoutchouc. Peut être raffiné pour obtenir du carburant et de la coke de pétrole.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_LiquidHeavyOilResidue_Pipe_256.png?v=1725286510,itemsData
Desc_LiquidFuel_C,liquid,Fuel,Carburant,"Can be used as-is to generate power, or packaged to be used as fuel for vehicles or the Jetpack.","Peut être utilisé tel quel pour générer de l'énergie, ou conditionné pour alimenter les véhicules ou le réacteur dorsal.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_LiquidFuel_Pipe_256.png?v=1725286517,itemsData
Desc_LiquidBiofuel_C,liquid,Liquid Biofuel,Biocarburant liquide,"Liquid Biofuel can be used as-is to generate power, or packaged to be used as fuel for vehicles.",Le biocarburant liquide peut être utilisé tel quel pour produire de l'énergie ou conditionné comme carburant pour les véhicules.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_LiquidBiofuel_Pipe_256.png?v=1725286511,itemsData
Desc_LiquidTurboFuel_C,liquid,Turbofuel,Turbocarburant,"A more efficient alternative to Fuel. Can be used as-is to generate power, or packaged to be used as fuel for vehicles.",Une alternative plus efficace au carburant. Peut être utilisé tel quel pour générer de l'énergie ou conditionné pour alimenter les véhicules.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_LiquidTurboFuel_Pipe_256.png?v=1725286516,itemsData
Desc_AluminaSolution_C,liquid,Alumina Solution,Solution d'alumine,"Dissolved Alumina, extracted from Bauxite. Can be further refined into Aluminum Scrap for Aluminum Ingot production.","Alumine dissoute, extraite de la bauxite. Peut être raffinée en rebuts d'aluminium pour la production de lingots d'aluminium.",https://static.satisfactory-calculator.com/img/gameStable1.0/LiquidAlumina_Pipe_256.png?v=1725286517,itemsData
Desc_SulfuricAcid_C,liquid,Sulfuric Acid,Acide sulfurique,Produced by combining Sulfur and Water in a complex reaction. Primarily used in refinement processes and Battery production.,Produit en combinant le soufre et l'eau dans une réaction complexe. Principalement utilisé dans les processus de raffinage et la production de batteries.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_LiquidSulfuricAcid_Pipe_256.png?v=1725286508,itemsData
Desc_NitricAcid_C,liquid,Nitric Acid,Acide nitrique,Produced when Nitrogen Gas reacts with Water. Its high corrosiveness and oxidizing properties make it an excellent choice for refinement and fuel production processes.,Produit par réaction entre l'azote et l'eau. Ses fortes propriétés de corrosion et d'oxydation en font un excellent choix pour le raffinage et la production de carburant.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_NitricAcid_256.png?v=1725286509,itemsData
Desc_DissolvedSilica_C,liquid,Dissolved Silica,Silice dissoute,"Silica dissolved in Water, produced as part of the alternative refinement of Raw Quartz.<br />The Silica can be extracted from the Water to complete the refinement process.","De la silice dissoute dans de l'eau, produite lors du raffinage alternatif du quartz brut.<br />La silice peut être extraite de l'eau pour terminer le processus de raffinage.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_DissolvedSilica_256.png?v=1725286507,itemsData
Desc_NitrogenGas_C,gas,Nitrogen Gas,Azote,"Has a variety of uses, including metallurgy, cooling, and Nitric Acid production. On MASSAGE-2 (AB)b, it can be extracted from underground gas wells.","Peut être utilisé dans différents domaines, tels que la métallurgie, le refroidissement et la production d'acide nitrique. Sur MASSAGE-2 (AB)b, il peut être extrait de puits de gaz souterrains.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_NitricAcid_256.png?v=1725286509,itemsData
Desc_RocketFuel_C,gas,Rocket Fuel,Carburant de fusée,"A high-impulse compressed gas fuel.<br />Can be used as-is to power Fuel-Powered Generators, or packaged to be used as fuel for vehicles or the Jetpack.","Combustible gazeux comprimé à haute impulsion.<br />Peut être utilisé tel quel pour alimenter un générateur à carburant, ou conditionné comme carburant pour les véhicules ou le réacteur dorsal.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_RocketFuelPipe_256.png?v=1725286515,itemsData
Desc_IonizedFuel_C,gas,Ionized Fuel,Carburant ionisé,"Fuel that has been ionized, allowing it to deliver incredible output.<br />Can be used as-is to power Fuel-Powered Generators, or packaged to be used as fuel for vehicles or the Jetpack.","Du carburant ayant été ionisé, lui conférant ainsi un rendement extraordinaire.<br />Peut être utilisé tel quel pour alimenter un générateur à carburant, ou conditionné comme carburant pour les véhicules ou le réacteur dorsal.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_IonizedFuel_256.png?v=1725286511,itemsData
Desc_DarkEnergy_C,gas,Dark Matter Residue,Résidus de matière noire,"Produced as a by-product of Quantum Encoding processes and alternatively generated in the Converter.<br /><br />Various fields of science are still debating the nature and properties of Dark Matter. Meanwhile, FICSIT has found several applications for it in space-time manipulation.","Produit dérivé des processus d'encodage quantique, et parfois produit dans le convertisseur.<br /><br />Différents domaines scientifiques débattent encore de la nature et des propriétés de la matière noire. Par ailleurs, FICSIT lui a trouvé plusieurs applications dans le domaine de la manipulation de l'espace-temps.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_DarkEnergy_256.png?v=1725286507,itemsData
Desc_QuantumEnergy_C,gas,Excited Photonic Matter,Matière photonique agitée,Excited Photonic Matter is essential for all production processes in the Quantum Encoder.<br /><br />Formed in the Converter by inducing intense photon interactions through exposure to SAM in a high-energy environment.,La matière photonique agitée est essentielle pour l'ensemble des procédés de production de l'encodeur quantique.<br /><br />Créée dans le convertisseur en provoquant des interactions photoniques intenses par l'exposition à l'É.M.E. dans un environnement à haute énergie.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_QuantumEnergy_256.png?v=1725286507,itemsData
Desc_IronRod_C,standard,Iron Rod,Barre de fer,Used for crafting.<br />One of the most basic parts.,Matériau de fabrication.<br />Une des pièces les plus basiques.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_IronRods_256.png?v=1725286516,itemsData
Desc_IronScrew_C,standard,Screws,Vis,Used for crafting.<br />One of the most basic parts.,Matériau de fabrication.<br />Une des pièces les plus basiques.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_IronScrews_256.png?v=1725286512,itemsData
Desc_IronPlate_C,standard,Iron Plate,Plaque de fer,Used for crafting.<br />One of the most basic parts.,Matériau de fabrication.<br />Une des pièces les plus basiques.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_IronPlates_256.png?v=1725286507,itemsData
Desc_IronPlateReinforced_C,standard,Reinforced Iron Plate,Plaque de fer renforcée,Used for crafting.<br />A sturdier and more durable Iron Plate.,Matériau de fabrication.<br />Une plaque de fer plus robuste et résistante.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_ReinforcedIronPlates_256.png?v=1725286515,itemsData
Desc_CopperSheet_C,standard,Copper Sheet,Tôle de cuivre,Used for crafting.<br />Primarily used for pipelines due to its high corrosion resistance.,Matériau de fabrication.<br />Principalement utilisé pour les pipelines grâce à sa grande résistance à la corrosion.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_CopperSheet_256.png?v=1725286511,itemsData
Desc_AluminumPlate_C,standard,Alclad Aluminum Sheet,Tôle d'aluminium en alliage Alclad,"Used to make products that require high heat conduction or a high specific strength. Thin, lightweight, and highly durable.","Utilisée pour fabriquer des produits qui nécessitent une conduction thermique élevée ou une résistance spécifique élevée. Fine, légère et très durable.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_AluminiumSheet_256.png?v=1725286508,itemsData
Desc_AluminumCasing_C,standard,Aluminum Casing,Boîtiers en aluminium,A versatile container cast from Aluminum Ingots.,Un conteneur polyvalent coulé à partir de lingots d'aluminium.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_AluminiumCasing_256.png?v=1725286511,itemsData
Desc_SteelPipe_C,standard,Steel Pipe,Tuyau en acier,Primarily used when constructing slightly more advanced buildings.,Principalement utilisée lors de la construction de bâtiments plus avancés.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_SteelPipe_256.png?v=1725286515,itemsData
Desc_SteelPlate_C,standard,Steel Beam,Poutre en acier,Primarily used when constructing slightly more advanced buildings.,Principalement utilisée lors de la construction de bâtiments plus avancés.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_SteelBeam_256.png?v=1725286508,itemsData
Desc_SteelPlateReinforced_C,standard,Encased Industrial Beam,Poutre en béton armé,Simultaneously utilizes the compressive strength of concrete and the tensile strength of steel.<br />Mostly used as a stable base for constructing buildings.,Exploite simultanément la résistance du béton et l'élasticité de l'acier.<br />Principalement utilisée comme fondation pour la construction de bâtiments.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_EncasedSteelBeam_256.png?v=1725286508,itemsData
Desc_ModularFrame_C,standard,Modular Frame,Cadre modulaire,Used for crafting.<br />A multipurpose building block.,Matériau de fabrication.<br />Un bloc de construction multi-usage.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_ModularFrame_256.png?v=1725286508,itemsData
Desc_ModularFrameHeavy_C,standard,Heavy Modular Frame,Cadre modulaire lourd,A more robust multipurpose frame.,Un cadre polyvalent et plus robuste.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_ModularFrameHeavy_256.png?v=1725286509,itemsData
Desc_ModularFrameFused_C,standard,Fused Modular Frame,Cadre modulaire fusionné,"A corrosion-resistant, nitride-hardened, highly-robust-yet-lightweight modular frame.","Un cadre modulaire résistant à la corrosion, renforcé au nitrure, très robuste, mais cependant léger.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_FusedModularFrame_256.png?v=1725286512,itemsData
Desc_FicsiteMesh_C,standard,Ficsite Trigon,Trigon en ficsite,"The Ficsite Trigon, made from Ficsite Ingots, is perfectly shaped for all construction challenges. Its performance is so exceptional, it basically solved structural engineering.","Le trigon en ficsite, produit à partir de lingots de ficsite, est parfaitement adapté à tous les défis de construction. Ses performances sont si exceptionnelles qu'il a pratiquement révolutionné l'ingénierie structurelle.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_FicsiteMesh_256.png?v=1725286508,itemsData
Desc_Fabric_C,standard,Fabric,Tissu,Used to craft equipment.<br />Flexible but durable fabric.,"Utilisé pour fabriquer de l'équipement.<br />Tissu souple, mais résistant.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Fabric_256.png?v=1725286514,itemsData
Desc_Plastic_C,standard,Plastic,Plastique,"Versatile and easy to manufacture, this material has a wide range of uses.","Polyvalent et facile à produire, ce matériau a un large éventail d'utilisations.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Plastic_256.png?v=1725286507,itemsData
Desc_Rubber_C,standard,Rubber,Caoutchouc,A very flexible material that has a lot of friction.,Un matériau très flexible qui offre une grande capacité de friction.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Rubber_256.png?v=1725286512,itemsData
Desc_Rotor_C,industrial,Rotor,Rotor,Used for crafting.<br />The moving parts of a motor.,Matériau de fabrication.<br />La pièce mobile d'un moteur.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Rotor_256.png?v=1725286512,itemsData
Desc_Stator_C,industrial,Stator,Stator,Used for crafting.<br />The static parts of a motor.,Matériau de fabrication.<br />La pièce fixe d'un moteur.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Stator_256.png?v=1725286508,itemsData
Desc_Battery_C,industrial,Battery,Batterie,Primarily used as fuel for Drones and Vehicles.,Principalement utilisé comme carburant pour les drones et les véhicules.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Battery_256.png?v=1725286512,itemsData
Desc_Motor_C,industrial,Motor,Moteur,Creates a mechanical force that is used to move things from machines to vehicles.,Crée une force mécanique afin de déplacer des objets des machines aux véhicules.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Engine_256.png?v=1725286512,itemsData
Desc_AluminumPlateReinforced_C,industrial,Heat Sink,Dissipateur de chaleur,Used to dissipate heat faster.,Permet de dissiper la chaleur plus rapidement.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Heatsink_256.png?v=1725286512,itemsData
Desc_CoolingSystem_C,industrial,Cooling System,Système de refroidissement,Keeps advanced parts and buildings from exceeding efficient temperature levels.,Empêche les pièces et les bâtiments avancés de dépasser les niveaux de température optimaux.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_CoolingSystem_256.png?v=1725286510,itemsData
Desc_MotorLightweight_C,industrial,Turbo Motor,Turbomoteur,A more complex and powerful version of the regular Motor.,Une version plus puissante et plus complexe du moteur de base.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_TurboMotor_256.png?v=1725286510,itemsData
Desc_Wire_C,electronic,Wire,Fil électrique,Used for crafting.<br />One of the most basic parts.,Matériau de fabrication.<br />Une des pièces les plus basiques.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Wire_256.png?v=1725286514,itemsData
Desc_Cable_C,electronic,Cable,Câble,Used for crafting.<br />Primarily used to build power lines.,Matériau de fabrication.<br />Principalement utilisé pour construire des lignes électriques.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Cables_256.png?v=1725286507,itemsData
Desc_HighSpeedWire_C,electronic,Quickwire,Filactif,"Caterium's high conductivity and resistance to corrosion make it ideal for small, advanced electronics.",La haute conductivité et la résistance à la corrosion du caterium le rendent idéal pour les petits appareils électroniques avancés.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Quickwire_256.png?v=1725286509,itemsData
Desc_CircuitBoard_C,electronic,Circuit Board,Circuit imprimé,Advanced electronics that have a plethora of different uses.,Des composants électroniques avancés offrant une multitude d'utilisations différentes.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_CircuitBoard_256.png?v=1725286511,itemsData
Desc_CircuitBoardHighSpeed_C,electronic,AI Limiter,Contrôleur d'I.A.,Controls AIs and keeps them from evolving in malicious ways. Super advanced electronics.,Contrôle les I.A. et les empêche d'évoluer à des fins malveillantes. Électronique de pointe.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_AILimiter_256.png?v=1725286513,itemsData
Desc_HighSpeedConnector_C,electronic,High-Speed Connector,Connecteur haute vitesse,"Connects multiple cables and wires in a very efficient way. Uses a standard pattern, so it has many varied applications.","Connecte plusieurs câbles et fils de manière très efficace. Utilise un modèle standard, ce qui lui permet d'avoir de nombreuses applications.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_HighSpeedConnector_256.png?v=1725286509,itemsData
Desc_SAMIngot_C,electronic,Reanimated SAM,É.M.E. réanimée,"The active and contained form of the Strange Alien Matter.<br /><br />Proper electromagnetic containment is required, as it appears to be able to manipulate the atomic bonds of any matter it comes into contact with.","La forme active et confinée de l'étrange matière extraterrestre.<br /><br />Un isolement électromagnétique adéquat est nécessaire, car elle semble capable de manipuler les liaisons atomiques de toute matière avec laquelle elle entre en contact.",https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_ReanimatedSam_256.png?v=1725286515,itemsData
Desc_SAMFluctuator_C,electronic,SAM Fluctuator,Fluctuateur d'É.M.E.,The SAM Fluctuator is able to regulate and direct the behavior of Reanimated SAM through the application of electric charges with varying frequencies.<br />This control facilitates technologies such as matter-to-energy conversion and spatiotemporal matter manipulation.,Le fluctuateur d'É.M.E. permet de réguler et de contrôler le comportement de l'É.M.E. réanimée via l'application de charges électriques de diverses fréquences.<br />Ce contrôle facilite les technologies telles que la conversion de la matière en énergie et la manipulation spatio-temporelle de la matière.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_SamFluctuator_256.png?v=1725286511,itemsData
Desc_Computer_C,communication,Computer,Ordinateur,A complex logic machine that is used to control advanced behavior in other machines.,Une machine logique complexe permettant de piloter les comportements avancés d'autres machines.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Computer_256.png?v=1725286512,itemsData
Desc_ComputerSuper_C,communication,Supercomputer,Superordinateur,The next-gen version of a Computer.,La nouvelle génération d'ordinateurs.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_QuantumComputer_256.png?v=1725286508,itemsData
Desc_ModularFrameLightweight_C,communication,Radio Control Unit,Unité de contrôle radio,Enhances and directs radio signals.,Améliore et oriente les signaux radio.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_RadioControlUnit_256.png?v=1725286515,itemsData
Desc_CrystalOscillator_C,communication,Crystal Oscillator,Oscillateur à cristal,An electronic oscillator circuit that uses the mechanical resonance of a vibrating crystal to create an electrical signal with a precise frequency.,Un circuit à oscillation électronique qui utilise la résonance mécanique d'un cristal vibrant pour créer un signal électrique d'une fréquence précise.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_CrystalOscillator_256.png?v=1725286515,itemsData
Desc_QuantumOscillator_C,communication,Superposition Oscillator,Oscillateur de superposition,An oscillator circuit that uses the mechanical resonance of a vibrating crystal to create a string vibration with a precise frequency. Often used in teleportation technology and dimensional manipulation.,Un circuit à oscillation qui utilise la résonance mécanique d'un cristal vibrant pour créer une vibration de cordes d'une fréquence précise. Utilisé le plus souvent en technologie de téléportation ou dans la manipulation dimensionnelle.,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_SuperPositionOscillator_256.png?v=1725286509,itemsData
Desc_Diamond_C,quantum,Diamonds,Diamants,Synthetic Diamonds produced by exposing Coal to extreme heat and pressure.<br /><br />Used in the production of Time Crystals and Dark Matter Crystals.<br /><br />Power Usage: 250-750 MW (500 MW average).,Des diamants synthétiques produits en exposant du charbon à une chaleur et à une pression extrêmes.<br /><br />Utilisés pour la production de cristaux temporels et de cristaux de matière noire.<br /><br />Consommation d’énergie : 250-750 MW (500 MW en moyenne).,https://static.satisfactory-calculator.com/img/gameStable1.0/IconDesc_Diamonds_256.png?v=1725286509,itemsData
